Graph,Method,Time (ms),Avg degree,Edges
pa2010,LAGraph,16.1,4.88314,1029231
pa2010,Spla,960.0,4.88314,1029231
pdb1HYS,LAGraph,12.33,118.306,2190591
pdb1HYS,Spla,155.0,118.306,2190591
GAP-road,LAGraph,762.0,2.40981,28854312
GAP-road,Spla,24755.0,2.40981,28854312
cage14,LAGraph,842.0,17.0174,27130349
cage14,Spla,268.0,17.0174,27130349
cage15,LAGraph,3660.0,18.2439,99199551
cage15,Spla,999.0,18.2439,99199551
